Model,Description,Parameter,ROC-AUC,Accuracy,Precision,Recall,F1 Score,F2 Score,Confusion Matrix
adaboost,OR origin,n_estimators=10,0.8826090966775006,0.9995084442259752,0.9375,0.7653061224489796,0.8426966292134831,0.7944915254237287,"[[56859     5],[   23    75]]"
adaboost,OR origin,n_estimators=30,0.8875176934870741,0.9991397773954568,0.7378640776699029,0.7755102040816326,0.7562189054726368,0.7676767676767677,"[[56837    27],[   22    76]]"
adaboost,OR origin,n_estimators=50,0.8824508243083391,0.9991924440855308,0.7653061224489796,0.7653061224489796,0.7653061224489794,0.7653061224489796,"[[56841    23],[   23    75]]"
adaboost,OR origin,n_estimators=70,0.8824684101271347,0.9992275552122468,0.78125,0.7653061224489796,0.7731958762886597,0.7684426229508196,"[[56843    21],[   23    75]]"
adaboost,OR origin,n_estimators=100,0.8875176934870741,0.9991397773954568,0.7378640776699029,0.7755102040816326,0.7562189054726368,0.7676767676767677,"[[56837    27],[   22    76]]"
adaboost,OR smote,n_estimators=10,0.9335679544749808,0.9995611109160492,0.8762886597938144,0.8673469387755102,0.8717948717948717,0.869120654396728,"[[56852    12],[   13    85]]"
adaboost,OR smote,n_estimators=30,0.9029732953958176,0.9994908886626171,0.8876404494382022,0.8061224489795918,0.8449197860962567,0.8212058212058213,"[[56854    10],[   19    79]]"
adaboost,OR smote,n_estimators=50,0.8916173426320443,0.9971559987359996,0.3532110091743119,0.7857142857142857,0.4873417721518988,0.6311475409836065,"[[56723   141],[   21    77]]"
adaboost,OR smote,n_estimators=70,0.8966842118107794,0.9971033320459254,0.3497757847533632,0.7959183673469388,0.485981308411215,0.6341463414634148,"[[56719   145],[   20    78]]"
adaboost,OR smote,n_estimators=100,0.881369296452402,0.9970331097924932,0.3393665158371041,0.7653061224489796,0.4702194357366771,0.6117455138662317,"[[56718   146],[   23    75]]"
adaboost,OR adasyn,n_estimators=10,0.908066543302746,0.9994908886626171,0.8791208791208791,0.8163265306122449,0.8465608465608465,0.8281573498964804,"[[56853    11],[   18    80]]"
adaboost,OR adasyn,n_estimators=30,0.902990881214613,0.9995259997893332,0.9080459770114944,0.8061224489795918,0.854054054054054,0.824634655532359,"[[56856     8],[   19    79]]"
adaboost,OR adasyn,n_estimators=50,0.8876935516750313,0.9994908886626171,0.9156626506024096,0.7755102040816326,0.839779005524862,0.7999999999999999,"[[56857     7],[   22    76]]"
adaboost,OR adasyn,n_estimators=70,0.8613128495630104,0.9976651100733822,0.4011299435028249,0.7244897959183674,0.5163636363636365,0.6239015817223199,"[[56758   106],[   27    71]]"
adaboost,OR adasyn,n_estimators=100,0.8663533400135518,0.997559776693234,0.3891891891891892,0.7346938775510204,0.5088339222614842,0.6239168110918545,"[[56751   113],[   26    72]]"
adaboost,PT origin,n_estimators=10,0.9081280936685312,0.9996137776061234,0.9523809523809524,0.8163265306122449,0.8791208791208791,0.8403361344537816,"[[56860     4],[   18    80]]"
adaboost,PT origin,n_estimators=30,0.8722291568568903,0.9991222218320986,0.7448979591836735,0.7448979591836735,0.7448979591836735,0.7448979591836735,"[[56839    25],[   25    73]]"
adaboost,PT origin,n_estimators=50,0.8773311976732168,0.9991397773954568,0.7474747474747475,0.7551020408163265,0.7512690355329948,0.7535641547861506,"[[56839    25],[   24    74]]"
adaboost,PT origin,n_estimators=70,0.8671359089499616,0.9991222218320986,0.75,0.7346938775510204,0.7422680412371135,0.7377049180327869,"[[56840    24],[   26    72]]"
adaboost,PT origin,n_estimators=100,0.8773224047638188,0.9991222218320986,0.74,0.7551020408163265,0.7474747474747474,0.7520325203252033,"[[56838    26],[   24    74]]"
adaboost,PT smote,n_estimators=10,0.9285010852962456,0.9996137776061234,0.9130434782608696,0.8571428571428571,0.8842105263157894,0.8677685950413223,"[[56856     8],[   14    84]]"
adaboost,PT smote,n_estimators=30,0.9081017149403374,0.9995611109160492,0.9195402298850576,0.8163265306122449,0.8648648648648648,0.8350730688935282,"[[56857     7],[   18    80]]"
adaboost,PT smote,n_estimators=50,0.9071169090877768,0.99759488781995,0.4020100502512563,0.8163265306122449,0.5387205387205388,0.6768189509306262,"[[56745   119],[   18    80]]"
adaboost,PT smote,n_estimators=70,0.9020148682714504,0.997577332256592,0.398989898989899,0.8061224489795918,0.5337837837837839,0.6694915254237288,"[[56745   119],[   19    79]]"
adaboost,PT smote,n_estimators=100,0.896842484179941,0.99741933218637,0.3804878048780488,0.7959183673469388,0.5148514851485149,0.6532663316582915,"[[56737   127],[   20    78]]"
adaboost,PT adasyn,n_estimators=10,0.9182882107541948,0.9995611109160492,0.9010989010989012,0.8367346938775511,0.8677248677248677,0.8488612836438924,"[[56855     9],[   16    82]]"
adaboost,PT adasyn,n_estimators=30,0.902990881214613,0.9995259997893332,0.9080459770114944,0.8061224489795918,0.854054054054054,0.824634655532359,"[[56856     8],[   19    79]]"
adaboost,PT adasyn,n_estimators=50,0.8366291789647767,0.9992275552122468,0.8461538461538461,0.673469387755102,0.75,0.7021276595744681,"[[56852    12],[   32    66]]"
adaboost,PT adasyn,n_estimators=70,0.8815099830027678,0.9973139988062216,0.3658536585365853,0.7653061224489796,0.495049504950495,0.6281407035175878,"[[56734   130],[   23    75]]"
adaboost,PT adasyn,n_estimators=100,0.8765310429180113,0.997542221129876,0.3894736842105263,0.7551020408163265,0.5138888888888888,0.6357388316151201,"[[56748   116],[   24    74]]"
