Model,Description,Parameter,ROC-AUC,Accuracy,Precision,Recall,F1 Score,F2 Score,Confusion Matrix
catboost,OR origin,iterations=100,0.9132213415754596,0.9996137776061234,0.9418604651162792,0.826530612244898,0.8804347826086957,0.8472803347280335,"[[56859     5],[   17    81]]"
catboost,OR origin,iterations=200,0.9132389273942552,0.9996488887328394,0.9642857142857144,0.826530612244898,0.8901098901098902,0.8508403361344538,"[[56861     3],[   17    81]]"
catboost,OR origin,iterations=300,0.9030172599428068,0.9995786664794072,0.9404761904761904,0.8061224489795918,0.8681318681318683,0.8298319327731094,"[[56859     5],[   19    79]]"
catboost,OR origin,iterations=400,0.8979152191264801,0.9995611109160492,0.9397590361445785,0.7959183673469388,0.8618784530386742,0.8210526315789474,"[[56859     5],[   20    78]]"
catboost,OR origin,iterations=500,0.9081456794873268,0.9996488887328394,0.975609756097561,0.8163265306122449,0.888888888888889,0.8438818565400844,"[[56862     2],[   18    80]]"
catboost,OR origin,iterations=600,0.9081280936685312,0.9996137776061234,0.9523809523809524,0.8163265306122449,0.8791208791208791,0.8403361344537816,"[[56860     4],[   18    80]]"
catboost,OR smote,iterations=100,0.9330931373674962,0.9986131104947158,0.5629139072847682,0.8673469387755102,0.6827309236947792,0.7826887661141805,"[[56798    66],[   13    85]]"
catboost,OR smote,iterations=200,0.9332250310084642,0.9988764439450862,0.625,0.8673469387755102,0.7264957264957265,0.8049242424242424,"[[56813    51],[   13    85]]"
catboost,OR smote,iterations=300,0.9229506061006284,0.998700888311506,0.5845070422535211,0.8469387755102041,0.6916666666666668,0.7771535580524344,"[[56805    59],[   15    83]]"
catboost,OR smote,iterations=400,0.9230561210134026,0.9989115550718024,0.6384615384615384,0.8469387755102041,0.7280701754385964,0.7950191570881227,"[[56817    47],[   15    83]]"
catboost,OR smote,iterations=500,0.9332162380990664,0.9988588883817282,0.6204379562043796,0.8673469387755102,0.723404255319149,0.8034026465028355,"[[56812    52],[   13    85]]"
catboost,OR smote,iterations=600,0.9228714699160476,0.9985428882412836,0.5496688741721855,0.8469387755102041,0.6666666666666666,0.7642725598526703,"[[56796    68],[   15    83]]"
catboost,OR adasyn,iterations=100,0.9073894892791108,0.998139110284049,0.4761904761904761,0.8163265306122449,0.6015037593984961,0.7142857142857143,"[[56776    88],[   18    80]]"
catboost,OR adasyn,iterations=200,0.9073894892791108,0.998139110284049,0.4761904761904761,0.8163265306122449,0.6015037593984961,0.7142857142857143,"[[56776    88],[   18    80]]"
catboost,OR adasyn,iterations=300,0.9227835408220688,0.9983673326077034,0.515527950310559,0.8469387755102041,0.640926640926641,0.7504520795660036,"[[56786    78],[   15    83]]"
catboost,OR adasyn,iterations=400,0.9177958078279146,0.9985779993679996,0.5578231292517006,0.8367346938775511,0.6693877551020408,0.7606679035250465,"[[56799    65],[   16    82]]"
catboost,OR adasyn,iterations=500,0.9228626770066496,0.9985253326779256,0.5460526315789473,0.8469387755102041,0.6639999999999999,0.7628676470588236,"[[56795    69],[   15    83]]"
catboost,OR adasyn,iterations=600,0.9274986936248896,0.997612443383308,0.4077669902912621,0.8571428571428571,0.5526315789473684,0.7023411371237458,"[[56742   122],[   14    84]]"
catboost,PT origin,iterations=100,0.9132213415754596,0.9996137776061234,0.9418604651162792,0.826530612244898,0.8804347826086957,0.8472803347280335,"[[56859     5],[   17    81]]"
catboost,PT origin,iterations=200,0.9132389273942552,0.9996488887328394,0.9642857142857144,0.826530612244898,0.8901098901098902,0.8508403361344538,"[[56861     3],[   17    81]]"
catboost,PT origin,iterations=300,0.9030172599428068,0.9995786664794072,0.9404761904761904,0.8061224489795918,0.8681318681318683,0.8298319327731094,"[[56859     5],[   19    79]]"
catboost,PT origin,iterations=400,0.8979152191264801,0.9995611109160492,0.9397590361445785,0.7959183673469388,0.8618784530386742,0.8210526315789474,"[[56859     5],[   20    78]]"
catboost,PT origin,iterations=500,0.9081456794873268,0.9996488887328394,0.975609756097561,0.8163265306122449,0.888888888888889,0.8438818565400844,"[[56862     2],[   18    80]]"
catboost,PT origin,iterations=600,0.9081280936685312,0.9996137776061234,0.9523809523809524,0.8163265306122449,0.8791208791208791,0.8403361344537816,"[[56860     4],[   18    80]]"
catboost,PT smote,iterations=100,0.9125970450082116,0.9983673326077034,0.5159235668789809,0.826530612244898,0.6352941176470588,0.7377049180327869,"[[56788    76],[   17    81]]"
catboost,PT smote,iterations=200,0.9125970450082116,0.9983673326077034,0.5159235668789809,0.826530612244898,0.6352941176470588,0.7377049180327869,"[[56788    76],[   17    81]]"
catboost,PT smote,iterations=300,0.9229506061006284,0.998700888311506,0.5845070422535211,0.8469387755102041,0.6916666666666668,0.7771535580524344,"[[56805    59],[   15    83]]"
catboost,PT smote,iterations=400,0.9178837369218932,0.99875355500158,0.5985401459854015,0.8367346938775511,0.6978723404255318,0.775047258979206,"[[56809    55],[   16    82]]"
catboost,PT smote,iterations=500,0.9230033635570154,0.998806221691654,0.6102941176470589,0.8469387755102041,0.7094017094017094,0.7859848484848486,"[[56811    53],[   15    83]]"
catboost,PT smote,iterations=600,0.9332162380990664,0.9988588883817282,0.6204379562043796,0.8673469387755102,0.723404255319149,0.8034026465028355,"[[56812    52],[   13    85]]"
catboost,PT adasyn,iterations=100,0.9173561623580216,0.9977002212000984,0.416243654822335,0.8367346938775511,0.5559322033898306,0.6960950764006791,"[[56749   115] ,[   16    82]]"
catboost,PT adasyn,iterations=200,0.9125530804612222,0.9982795547909132,0.5,0.826530612244898,0.6230769230769231,0.7310469314079423,"[[56783    81],[   17    81]]"
catboost,PT adasyn,iterations=300,0.9226164755435096,0.9980337769039008,0.4611111111111111,0.8469387755102041,0.5971223021582734,0.7255244755244755,"[[56767    97],[   15    83]]"
catboost,PT adasyn,iterations=400,0.912693767011588,0.9985604438046416,0.5547945205479452,0.826530612244898,0.6639344262295082,0.7527881040892195,"[[56799    65],[   17    81]]"
catboost,PT adasyn,iterations=500,0.9178485652843016,0.998683332748148,0.5815602836879432,0.8367346938775511,0.6861924686192468,0.7692307692307692,"[[56805    59],[   16    82]]"
catboost,PT adasyn,iterations=600,0.9227923337314669,0.9983848881710614,0.51875,0.8469387755102041,0.6434108527131784,0.7518115942028986,"[[56787    77],[   15    83]]"
