Model,Description,Parameter,ROC-AUC,Accuracy,Precision,Recall,F1 Score,F2 Score,Confusion Matrix
decision_tree,OR origin,max_depth=1,0.8620074894054415,0.9990519995786664,0.7244897959183674,0.7244897959183674,0.7244897959183674,0.7244897959183674,"[[56837    27],  [   27    71]]"
decision_tree,OR origin,max_depth=2,0.8824508243083391,0.9991924440855308,0.7653061224489796,0.7653061224489796,0.7653061224489794,0.7653061224489796,"[[56841    23],  [   23    75]]"
decision_tree,OR origin,max_depth=3,0.8824596172177368,0.9992099996488888,0.7731958762886598,0.7653061224489796,0.7692307692307693,0.7668711656441718,"[[56842    22],  [   23    75]]"
decision_tree,OR origin,max_depth=4,0.8927252492161748,0.9993679997191108,0.8369565217391305,0.7857142857142857,0.8105263157894738,0.7954545454545454,"[[56849    15],  [   21    77]]"
decision_tree,OR origin,max_depth=5,0.8927867995819599,0.9994908886626171,0.9058823529411764,0.7857142857142857,0.8415300546448088,0.8071278825995806,"[[56856     8],  [   21    77]]"
decision_tree,OR smote,max_depth=1,0.9233087825732432,0.9689090972929322,0.0466124661246612,0.8775510204081632,0.0885229027277406,0.192221725525257,"[[55105  1759],  [   12    86]]"
decision_tree,OR smote,max_depth=2,0.919461974435244,0.9815666584740704,0.075,0.8571428571428571,0.1379310344827586,0.2777777777777778,"[[55828  1036],  [   14    84]]"
decision_tree,OR smote,max_depth=3,0.9189318876115444,0.9093255152557844,0.0173366355496285,0.9285714285714286,0.0340377781933794,0.0806594575429888,"[[51706  5158],  [    7    91]]"
decision_tree,OR smote,max_depth=4,0.9213897749589424,0.9752466556651804,0.0573549257759784,0.8673469387755102,0.1075949367088607,0.2267876200640341,"[[55467  1397],  [   13    85]]"
decision_tree,OR smote,max_depth=5,0.9244803928887254,0.9610793160352517,0.0379415612734409,0.8877551020408163,0.0727728983688833,0.1620111731843575,"[[54658  2206],  [   11    87]]"
decision_tree,OR adasyn,max_depth=1,0.8872379354105177,0.8663846072820477,0.0115719672344298,0.9081632653061223,0.0228527410450635,0.055053816652233,"[[49262  7602],  [    9    89]]"
decision_tree,OR adasyn,max_depth=2,0.8873147387824011,0.836031038236017,0.0097602376405686,0.9387755102040816,0.0193196136077278,0.0468527194948054,"[[47530  9334],  [    6    92]]"
decision_tree,OR adasyn,max_depth=3,0.907382311393888,0.8659281626347389,0.0120388349514563,0.9489795918367347,0.023776044995526,0.057287175064679,"[[49232  7632],  [    5    93]]"
decision_tree,OR adasyn,max_depth=4,0.9078725609546014,0.8770759453670869,0.0129796839729119,0.9387755102040816,0.0256053437239076,0.0614973262032085,"[[49868  6996],  [    6    92]]"
decision_tree,OR adasyn,max_depth=5,0.9107105173245438,0.8929110635160282,0.0147153945666235,0.9285714285714286,0.0289716650748169,0.0691909975669099,"[[50771  6093],  [    7    91]]"
decision_tree,PT origin,max_depth=1,0.8620074894054415,0.9990519995786664,0.7244897959183674,0.7244897959183674,0.7244897959183674,0.7244897959183674,"[[56837    27],  [   27    71]]"
decision_tree,PT origin,max_depth=2,0.8824508243083391,0.9991924440855308,0.7653061224489796,0.7653061224489796,0.7653061224489794,0.7653061224489796,"[[56841    23],  [   23    75]]"
decision_tree,PT origin,max_depth=3,0.8824684101271347,0.9992275552122468,0.78125,0.7653061224489796,0.7731958762886597,0.7684426229508196,"[[56843    21],  [   23    75]]"
decision_tree,PT origin,max_depth=4,0.8927252492161748,0.9993679997191108,0.8369565217391305,0.7857142857142857,0.8105263157894738,0.7954545454545454,"[[56849    15],  [   21    77]]"
decision_tree,PT origin,max_depth=5,0.8876935516750313,0.9994908886626171,0.9156626506024096,0.7755102040816326,0.839779005524862,0.7999999999999999,"[[56857     7],  [   22    76]]"
decision_tree,PT smote,max_depth=1,0.924012215325072,0.9703135423615744,0.0487252124645892,0.8775510204081632,0.0923242082662372,0.1993509503940658,"[[55185  1679],  [   12    86]]"
decision_tree,PT smote,max_depth=2,0.92357920939901,0.9796179909413292,0.0689375506893755,0.8673469387755102,0.1277235161532682,0.2615384615384615,"[[55716  1148],  [   13    85]]"
decision_tree,PT smote,max_depth=3,0.9238735026931424,0.9191917418629963,0.019415404309793,0.9285714285714286,0.0380355276907001,0.0895845638905296,"[[52268  4596],  [    7    91]]"
decision_tree,PT smote,max_depth=4,0.9323279748027516,0.956409536182016,0.0347249317206398,0.9081632653061223,0.0668921458098459,0.1505922165820643,"[[54390  2474],  [    9    89]]"
decision_tree,PT smote,max_depth=5,0.9325214188095048,0.9567957585758928,0.0350255804801259,0.9081632653061223,0.0674497915877226,0.1517217865666553,"[[54412  2452],  [    9    89]]"
decision_tree,PT adasyn,max_depth=1,0.9127242730237846,0.937607527825568,0.0239669421487603,0.8877551020408163,0.0466738197424892,0.1081551466931874,"[[53321  3543],  [   11    87]]"
decision_tree,PT adasyn,max_depth=2,0.8328426650626486,0.7272743232330325,0.0058895077139747,0.9387755102040816,0.0117055792353203,0.0287266595890838,"[[41335 15529],  [    6    92]]"
decision_tree,PT adasyn,max_depth=3,0.9060238966154835,0.8835539482461993,0.0135477147536102,0.9285714285714286,0.0267057960381511,0.0640033760022506,"[[50238  6626],  [    7    91]]"
decision_tree,PT adasyn,max_depth=4,0.9055248541453724,0.8723886099504933,0.0125084976206662,0.9387755102040816,0.0246880450825171,0.0593778236736801,"[[49601  7263],  [    6    92]]"
decision_tree,PT adasyn,max_depth=5,0.8943316599290251,0.8907166180962747,0.0139616055846422,0.8979591836734694,0.0274957037962818,0.0657206870799103,"[[50649  6215],  [   10    88]]"
