Model,Description,Parameter,ROC-AUC,Accuracy,Precision,Recall,F1 Score,F2 Score,Confusion Matrix
mlp,OR origin,"hidden_layer_sizes=(50,)",0.908057750393348,0.9994733330992592,0.8695652173913043,0.8163265306122449,0.8421052631578948,0.8264462809917354,"[[56852    12],[   18    80]]"
mlp,OR origin,"hidden_layer_sizes=(100,)",0.918217867479012,0.999420666409185,0.8282828282828283,0.8367346938775511,0.8324873096446701,0.8350305498981672,"[[56847    17],[   16    82]]"
mlp,OR origin,"hidden_layer_sizes=(120,)",0.9131597912096746,0.9994908886626171,0.8709677419354839,0.826530612244898,0.8481675392670157,0.8350515463917526,"[[56852    12],[   17    81]]"
mlp,OR origin,"hidden_layer_sizes=(150,)",0.9283428129270842,0.9992977774656788,0.7636363636363637,0.8571428571428571,0.8076923076923076,0.8366533864541832,"[[56838    26],[   14    84]]"
mlp,OR smote,"hidden_layer_sizes=(50,)",0.9078643063865952,0.9990871107053826,0.7017543859649122,0.8163265306122449,0.7547169811320754,0.790513833992095,"[[56830    34],[   18    80]]"
mlp,OR smote,"hidden_layer_sizes=(100,)",0.9181299383850332,0.9992451107756049,0.7522935779816514,0.8367346938775511,0.7922705314009661,0.8183632734530938,"[[56837    27],[   16    82]]"
mlp,OR smote,"hidden_layer_sizes=(120,)",0.9181035596568397,0.9991924440855308,0.7321428571428571,0.8367346938775511,0.7809523809523811,0.8134920634920635,"[[56834    30],[   16    82]]"
mlp,OR smote,"hidden_layer_sizes=(150,)",0.8977833254855122,0.9992977774656788,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388,"[[56844    20],[   20    78]]"
mlp,OR adasyn,"hidden_layer_sizes=(50,)",0.9130366904781044,0.9992451107756049,0.7570093457943925,0.826530612244898,0.7902439024390243,0.811623246492986,"[[56838    26],[   17    81]]"
mlp,OR adasyn,"hidden_layer_sizes=(100,)",0.9027710584796664,0.9990871107053826,0.7053571428571429,0.8061224489795918,0.7523809523809524,0.7837301587301586,"[[56831    33],[   19    79]]"
mlp,OR adasyn,"hidden_layer_sizes=(120,)",0.8925581839376154,0.9990344440153084,0.6936936936936937,0.7857142857142857,0.736842105263158,0.7654075546719682,"[[56830    34],[   21    77]]"
mlp,OR adasyn,"hidden_layer_sizes=(150,)",0.9232583579295536,0.9993153330290367,0.7757009345794392,0.8469387755102041,0.8097560975609756,0.8316633266533067,"[[56840    24],[   15    83]]"
mlp,PT origin,"hidden_layer_sizes=(50,)",0.9131509983002768,0.9994733330992592,0.8617021276595744,0.826530612244898,0.84375,0.8333333333333334,"[[56851    13],[   17    81]]"
mlp,PT origin,"hidden_layer_sizes=(100,)",0.8927867995819599,0.9994908886626171,0.9058823529411764,0.7857142857142857,0.8415300546448088,0.8071278825995806,"[[56856     8],[   21    77]]"
mlp,PT origin,"hidden_layer_sizes=(120,)",0.9283164341988906,0.9992451107756049,0.7433628318584071,0.8571428571428571,0.7962085308056872,0.8316831683168316,"[[56835    29],[   14    84]]"
mlp,PT origin,"hidden_layer_sizes=(150,)",0.9131509983002768,0.9994733330992592,0.8617021276595744,0.826530612244898,0.84375,0.8333333333333334,"[[56851    13],[   17    81]]"
mlp,PT smote,"hidden_layer_sizes=(50,)",0.8976074672975549,0.9989466661985184,0.6610169491525424,0.7959183673469388,0.7222222222222222,0.7647058823529411,"[[56824    40],[   20    78]]"
mlp,PT smote,"hidden_layer_sizes=(100,)",0.887588036762257,0.9992802219023208,0.8,0.7755102040816326,0.7875647668393783,0.7802874743326488,"[[56845    19],[   22    76]]"
mlp,PT smote,"hidden_layer_sizes=(120,)",0.897730568029125,0.9991924440855308,0.75,0.7959183673469388,0.7722772277227722,0.7862903225806451,"[[56838    26],[   20    78]]"
mlp,PT smote,"hidden_layer_sizes=(150,)",0.9028326088454516,0.9992099996488888,0.7523809523809524,0.8061224489795918,0.7783251231527093,0.7947686116700201,"[[56838    26],[   19    79]]"
mlp,PT adasyn,"hidden_layer_sizes=(50,)",0.9078467205677994,0.9990519995786664,0.6896551724137931,0.8163265306122449,0.7476635514018692,0.7874015748031497,"[[56828    36],[   18    80]]"
mlp,PT adasyn,"hidden_layer_sizes=(100,)",0.8824332384895434,0.9991573329588148,0.75,0.7653061224489796,0.7575757575757575,0.7621951219512194,"[[56839    25],[   23    75]]"
mlp,PT adasyn,"hidden_layer_sizes=(120,)",0.8976953963915336,0.9991222218320986,0.7222222222222222,0.7959183673469388,0.7572815533980582,0.7800000000000001,"[[56834    30],[   20    78]]"
mlp,PT adasyn,"hidden_layer_sizes=(150,)",0.8926549059409921,0.9992275552122468,0.77,0.7857142857142857,0.7777777777777778,0.782520325203252,"[[56841    23],[   21    77]]"
