Model,Description,Parameter,ROC-AUC,Accuracy,Precision,Recall,F1 Score,F2 Score,Confusion Matrix
random_forest,OR origin,n_estimators=100,0.9081193007591332,0.9995962220427652,0.9411764705882352,0.8163265306122449,0.8743169398907105,0.8385744234800839,"[[56859     5],  [   18    80]]"
random_forest,OR origin,n_estimators=200,0.9132213415754596,0.9996137776061234,0.9418604651162792,0.826530612244898,0.8804347826086957,0.8472803347280335,"[[56859     5],  [   17    81]]"
random_forest,OR origin,n_estimators=300,0.9081280936685312,0.9996137776061234,0.9523809523809524,0.8163265306122449,0.8791208791208791,0.8403361344537816,"[[56860     4],  [   18    80]]"
random_forest,OR origin,n_estimators=400,0.9132213415754596,0.9996137776061234,0.9418604651162792,0.826530612244898,0.8804347826086957,0.8472803347280335,"[[56859     5],  [   17    81]]"
random_forest,OR origin,n_estimators=500,0.9132213415754596,0.9996137776061234,0.9418604651162792,0.826530612244898,0.8804347826086957,0.8472803347280335,"[[56859     5],  [   17    81]]"
random_forest,OR origin,n_estimators=600,0.9081193007591332,0.9995962220427652,0.9411764705882352,0.8163265306122449,0.8743169398907105,0.8385744234800839,"[[56859     5],  [   18    80]]"
random_forest,OR smote,n_estimators=100,0.908057750393348,0.9994733330992592,0.8695652173913043,0.8163265306122449,0.8421052631578948,0.8264462809917354,"[[56852    12],  [   18    80]]"
random_forest,OR smote,n_estimators=200,0.9131509983002768,0.9994733330992592,0.8617021276595744,0.826530612244898,0.84375,0.8333333333333334,"[[56851    13],  [   17    81]]"
random_forest,OR smote,n_estimators=300,0.908066543302746,0.9994908886626171,0.8791208791208791,0.8163265306122449,0.8465608465608465,0.8281573498964804,"[[56853    11],  [   18    80]]"
random_forest,OR smote,n_estimators=400,0.9029645024864196,0.9994733330992592,0.8777777777777778,0.8061224489795918,0.8404255319148936,0.8195020746887968,"[[56853    11],  [   19    79]]"
random_forest,OR smote,n_estimators=500,0.908066543302746,0.9994908886626171,0.8791208791208791,0.8163265306122449,0.8465608465608465,0.8281573498964804,"[[56853    11],  [   18    80]]"
random_forest,OR smote,n_estimators=600,0.9029557095770216,0.9994557775359012,0.8681318681318682,0.8061224489795918,0.8359788359788359,0.8178053830227744,"[[56852    12],  [   19    79]]"
random_forest,OR adasyn,n_estimators=100,0.908057750393348,0.9994733330992592,0.8695652173913043,0.8163265306122449,0.8421052631578948,0.8264462809917354,"[[56852    12],  [   18    80]]"
random_forest,OR adasyn,n_estimators=200,0.9029645024864196,0.9994733330992592,0.8777777777777778,0.8061224489795918,0.8404255319148936,0.8195020746887968,"[[56853    11],  [   19    79]]"
random_forest,OR adasyn,n_estimators=300,0.902938123758226,0.999420666409185,0.8494623655913979,0.8061224489795918,0.8272251308900525,0.8144329896907216,"[[56850    14],  [   19    79]]"
random_forest,OR adasyn,n_estimators=400,0.9029469166676236,0.9994382219725432,0.8586956521739131,0.8061224489795918,0.8315789473684211,0.816115702479339,"[[56851    13],  [   19    79]]"
random_forest,OR adasyn,n_estimators=500,0.9029557095770216,0.9994557775359012,0.8681318681318682,0.8061224489795918,0.8359788359788359,0.8178053830227744,"[[56852    12],  [   19    79]]"
random_forest,OR adasyn,n_estimators=600,0.9029469166676236,0.9994382219725432,0.8586956521739131,0.8061224489795918,0.8315789473684211,0.816115702479339,"[[56851    13],  [   19    79]]"
random_forest,PT origin,n_estimators=100,0.9132301344848576,0.9996313331694814,0.9529411764705882,0.826530612244898,0.8852459016393441,0.8490566037735849,"[[56860     4],  [   17    81]]"
random_forest,PT origin,n_estimators=200,0.9081193007591332,0.9995962220427652,0.9411764705882352,0.8163265306122449,0.8743169398907105,0.8385744234800839,"[[56859     5],  [   18    80]]"
random_forest,PT origin,n_estimators=300,0.9183233823917862,0.9996313331694814,0.942528735632184,0.8367346938775511,0.8864864864864864,0.8559498956158665,"[[56859     5],  [   16    82]]"
random_forest,PT origin,n_estimators=400,0.9081193007591332,0.9995962220427652,0.9411764705882352,0.8163265306122449,0.8743169398907105,0.8385744234800839,"[[56859     5],  [   18    80]]"
random_forest,PT origin,n_estimators=500,0.9183233823917862,0.9996313331694814,0.942528735632184,0.8367346938775511,0.8864864864864864,0.8559498956158665,"[[56859     5],  [   16    82]]"
random_forest,PT origin,n_estimators=600,0.9132213415754596,0.9996137776061234,0.9418604651162792,0.826530612244898,0.8804347826086957,0.8472803347280335,"[[56859     5],  [   17    81]]"
random_forest,PT smote,n_estimators=100,0.9131685841190724,0.9995084442259752,0.8804347826086957,0.826530612244898,0.8526315789473684,0.8367768595041323,"[[56853    11],  [   17    81]]"
random_forest,PT smote,n_estimators=200,0.908057750393348,0.9994733330992592,0.8695652173913043,0.8163265306122449,0.8421052631578948,0.8264462809917354,"[[56852    12],  [   18    80]]"
random_forest,PT smote,n_estimators=300,0.908057750393348,0.9994733330992592,0.8695652173913043,0.8163265306122449,0.8421052631578948,0.8264462809917354,"[[56852    12],  [   18    80]]"
random_forest,PT smote,n_estimators=400,0.9080841291215416,0.9995259997893332,0.898876404494382,0.8163265306122449,0.8556149732620321,0.8316008316008316,"[[56855     9],  [   18    80]]"
