Model,Description,Parameter,ROC-AUC,Accuracy,Precision,Recall,F1 Score,F2 Score,Confusion Matrix
xgboost,OR origin,learning_rate=0.001,0.8927780066725619,0.9994733330992592,0.8953488372093024,0.7857142857142857,0.8369565217391304,0.805439330543933,"[[56855     9],  [   21    77]]"
xgboost,OR origin,learning_rate=0.01,0.9080841291215416,0.9995259997893332,0.898876404494382,0.8163265306122449,0.8556149732620321,0.8316008316008316,"[[56855     9],  [   18    80]]"
xgboost,OR origin,learning_rate=0.1,0.9081105078497352,0.9995786664794072,0.9302325581395348,0.8163265306122449,0.8695652173913043,0.8368200836820084,"[[56858     6],  [   18    80]]"
xgboost,OR origin,learning_rate=0.5,0.913203755756664,0.9995786664794072,0.9204545454545454,0.826530612244898,0.870967741935484,0.8437499999999999,"[[56857     7],  [   17    81]]"
xgboost,OR origin,learning_rate=1,0.9081017149403374,0.9995611109160492,0.9195402298850576,0.8163265306122449,0.8648648648648648,0.8350730688935282,"[[56857     7],  [   18    80]]"
xgboost,OR origin,learning_rate=3,0.6885117229221457,0.9984024437344194,0.5522388059701493,0.3775510204081632,0.4484848484848485,0.4030501089324618,"[[56834    30],  [   61    37]]"
xgboost,OR smote,learning_rate=0.001,0.9159272248573036,0.9745093220041432,0.0551905387647831,0.8571428571428571,0.1037037037037037,0.219435736677116,"[[55426  1438],  [   14    84]]"
xgboost,OR smote,learning_rate=0.01,0.9268677575138102,0.9861837716372318,0.0989522700814901,0.8673469387755102,0.1776384535005225,0.3397282174260591,"[[56090   774],  [   13    85]]"
xgboost,OR smote,learning_rate=0.1,0.937359851791026,0.9969628875390611,0.3481781376518219,0.8775510204081632,0.4985507246376811,0.6729264475743348,"[[56703   161],  [   12    86]]"
xgboost,OR smote,learning_rate=0.5,0.94362255664787,0.9992977774656788,0.75,0.8877551020408163,0.8130841121495328,0.8562992125984252,"[[56835    29],  [   11    87]]"
xgboost,OR smote,learning_rate=1,0.9231968075637684,0.9991924440855308,0.7280701754385965,0.8469387755102041,0.7830188679245284,0.8201581027667985,"[[56833    31],  [   15    83]]"
xgboost,OR smote,learning_rate=3,0.9271907623488338,0.956321758365226,0.034294621979735,0.8979591836734694,0.066066066066066,0.1487491548343475,"[[54386  2478],  [   10    88]]"
xgboost,OR adasyn,learning_rate=0.001,0.9129286633055024,0.9278466345985042,0.0210124164278892,0.8979591836734694,0.0410639290713952,0.0960698689956331,"[[52764  4100],  [   10    88]]"
xgboost,OR adasyn,learning_rate=0.01,0.91764614892102,0.957603314490362,0.03455202892728,0.8775510204081632,0.0664862775415539,0.1492537313432836,"[[54461  2403],  [   12    86]]"
xgboost,OR adasyn,learning_rate=0.1,0.9359090217403788,0.9940662195849864,0.2087378640776699,0.8775510204081632,0.3372549019607843,0.5348258706467661,"[[56538   326],  [   12    86]]"
xgboost,OR adasyn,learning_rate=0.5,0.9232319792013598,0.9992626663389628,0.7545454545454545,0.8469387755102041,0.7980769230769231,0.8266932270916335,"[[56837    27],  [   15    83]]"
xgboost,OR adasyn,learning_rate=1,0.9130278975687068,0.9992275552122468,0.75,0.826530612244898,0.7864077669902914,0.81,"[[56837    27],  [   17    81]]"
xgboost,OR adasyn,learning_rate=3,0.7951300561023511,0.692654752291001,0.0050042649985783,0.8979591836734694,0.0099530622631906,0.0244757189742448,"[[39367 17497],  [   10    88]]"
xgboost,PT origin,learning_rate=0.001,0.8927780066725619,0.9994733330992592,0.8953488372093024,0.7857142857142857,0.8369565217391304,0.805439330543933,"[[56855     9],  [   21    77]]"
xgboost,PT origin,learning_rate=0.01,0.9080841291215416,0.9995259997893332,0.898876404494382,0.8163265306122449,0.8556149732620321,0.8316008316008316,"[[56855     9],  [   18    80]]"
xgboost,PT origin,learning_rate=0.1,0.9081105078497352,0.9995786664794072,0.9302325581395348,0.8163265306122449,0.8695652173913043,0.8368200836820084,"[[56858     6],  [   18    80]]"
xgboost,PT origin,learning_rate=0.5,0.913203755756664,0.9995786664794072,0.9204545454545454,0.826530612244898,0.870967741935484,0.8437499999999999,"[[56857     7],  [   17    81]]"
xgboost,PT origin,learning_rate=1,0.9081017149403374,0.9995611109160492,0.9195402298850576,0.8163265306122449,0.8648648648648648,0.8350730688935282,"[[56857     7],  [   18    80]]"
xgboost,PT origin,learning_rate=3,0.6885117229221457,0.9984024437344194,0.5522388059701493,0.3775510204081632,0.4484848484848485,0.4030501089324618,"[[56834    30],  [   61    37]]"
xgboost,PT smote,learning_rate=0.001,0.9496631059570706,0.970682209192093,0.0518814139110604,0.9285714285714286,0.0982721382289417,0.212022367194781,"[[55201  1663],  [    7    91]]"
xgboost,PT smote,learning_rate=0.01,0.942165087053392,0.986218882763948,0.1019698725376593,0.8979591836734694,0.1831425598335067,0.3505976095617529,"[[56089   775],  [   10    88]]"
xgboost,PT smote,learning_rate=0.1,0.9424618926073524,0.9969804431024192,0.3508064516129032,0.8877551020408163,0.5028901734104047,0.6796875000000001,"[[56703   161],  [   11    87]]"
xgboost,PT smote,learning_rate=0.5,0.933427267924615,0.9992802219023208,0.7522123893805309,0.8673469387755102,0.8056872037914692,0.8415841584158416,"[[56836    28],  [   13    85]]"
xgboost,PT smote,learning_rate=1,0.9232407721107576,0.9992802219023208,0.7614678899082569,0.8469387755102041,0.8019323671497586,0.8283433133732535,"[[56838    26],  [   15    83]]"
xgboost,PT smote,learning_rate=3,0.9146280276319868,0.9617464274428568,0.0377609951132829,0.8673469387755102,0.0723712217965091,0.1608021188043889,"[[54698  2166],  [   13    85]]"
xgboost,PT adasyn,learning_rate=0.001,0.9330775254671368,0.94773708788315,0.029421379535796,0.9183673469387756,0.0570161545771301,0.1303969863807592,"[[53895  2969],  [    8    90]]"
xgboost,PT adasyn,learning_rate=0.01,0.9221942364452816,0.9565148695621642,0.0340775558166862,0.8877551020408163,0.0656356092040739,0.1477079796264855,"[[54398  2466],  [   11    87]]"
xgboost,PT adasyn,learning_rate=0.1,0.9306135369172992,0.993662441627752,0.1963048498845265,0.8673469387755102,0.32015065913371,0.5151515151515151,"[[56516   348],  [   13    85]]"
xgboost,PT adasyn,learning_rate=0.5,0.9232056004731664,0.9992099996488888,0.7345132743362832,0.8469387755102041,0.7867298578199051,0.8217821782178218,"[[56834    30],  [   15    83]]"
xgboost,PT adasyn,learning_rate=1,0.9129927259311152,0.9991573329588148,0.7232142857142857,0.826530612244898,0.7714285714285715,0.8035714285714286,"[[56833    31],  [   17    81]]"
xgboost,PT adasyn,learning_rate=3,0.7625564540672769,0.5666058073803588,0.0037938410622754,0.9591836734693876,0.0075577889447236,0.0186737653462592,"[[32181 24683],  [    4    94]]"
