Model,Description,Parameter,ROC-AUC,Accuracy,Precision,Recall,F1 Score,F2 Score,Confusion Matrix
adaboost,OR origin,n_estimators=10,0.8826090966775006,0.9995084442259752,0.9375,0.7653061224489796,0.8426966292134831,0.7944915254237287,"[[56859     5],[   23    75]]"
adaboost,OR origin,n_estimators=30,0.8875176934870741,0.9991397773954568,0.7378640776699029,0.7755102040816326,0.7562189054726368,0.7676767676767677,"[[56837    27],[   22    76]]"
adaboost,OR origin,n_estimators=50,0.8824508243083391,0.9991924440855308,0.7653061224489796,0.7653061224489796,0.7653061224489794,0.7653061224489796,"[[56841    23],[   23    75]]"
adaboost,OR origin,n_estimators=70,0.8824684101271347,0.9992275552122468,0.78125,0.7653061224489796,0.7731958762886597,0.7684426229508196,"[[56843    21],[   23    75]]"
adaboost,OR origin,n_estimators=100,0.8875176934870741,0.9991397773954568,0.7378640776699029,0.7755102040816326,0.7562189054726368,0.7676767676767677,"[[56837    27],[   22    76]]"
adaboost,OR smote,n_estimators=10,0.9335679544749808,0.9995611109160492,0.8762886597938144,0.8673469387755102,0.8717948717948717,0.869120654396728,"[[56852    12],[   13    85]]"
adaboost,OR smote,n_estimators=30,0.9029732953958176,0.9994908886626171,0.8876404494382022,0.8061224489795918,0.8449197860962567,0.8212058212058213,"[[56854    10],[   19    79]]"
adaboost,OR adasyn,n_estimators=10,0.908066543302746,0.9994908886626171,0.8791208791208791,0.8163265306122449,0.8465608465608465,0.8281573498964804,"[[56853    11],[   18    80]]"
adaboost,OR adasyn,n_estimators=30,0.902990881214613,0.9995259997893332,0.9080459770114944,0.8061224489795918,0.854054054054054,0.824634655532359,"[[56856     8],[   19    79]]"
adaboost,OR adasyn,n_estimators=50,0.8876935516750313,0.9994908886626171,0.9156626506024096,0.7755102040816326,0.839779005524862,0.7999999999999999,"[[56857     7],[   22    76]]"
adaboost,PT origin,n_estimators=10,0.9081280936685312,0.9996137776061234,0.9523809523809524,0.8163265306122449,0.8791208791208791,0.8403361344537816,"[[56860     4],[   18    80]]"
adaboost,PT smote,n_estimators=10,0.9285010852962456,0.9996137776061234,0.9130434782608696,0.8571428571428571,0.8842105263157894,0.8677685950413223,"[[56856     8],[   14    84]]"
adaboost,PT smote,n_estimators=30,0.9081017149403374,0.9995611109160492,0.9195402298850576,0.8163265306122449,0.8648648648648648,0.8350730688935282,"[[56857     7],[   18    80]]"
adaboost,PT adasyn,n_estimators=10,0.9182882107541948,0.9995611109160492,0.9010989010989012,0.8367346938775511,0.8677248677248677,0.8488612836438924,"[[56855     9],[   16    82]]"
adaboost,PT adasyn,n_estimators=30,0.902990881214613,0.9995259997893332,0.9080459770114944,0.8061224489795918,0.854054054054054,0.824634655532359,"[[56856     8],[   19    79]]"
